filename,gt_plate,pred_raw,pred_defog,acc_raw,acc_defog,conf_raw,conf_defog,brightness_raw,brightness_defog,sharp_raw,sharp_defog
20200603_191338_resized.jpg,AL83M36,AL83M36,AL83M36,1.0,1.0,0.8896484375,0.8984375,171.30692822718078,139.54117536450022,309.92912405106415,1535.9801776735314
20220525_150737_resized.jpg,6KAV083,6KAV083,6KAV083,1.0,1.0,0.892578125,0.88916015625,171.59781074048703,131.2548539976047,305.3125487107035,1366.14594148303
20230630_140900.jpg,9DIG718,9DTG718,9TTG718,0.8571428571428572,0.7142857142857143,0.8671875,0.86572265625,181.07675695966236,159.03246185374564,324.48054668220385,2040.4058136777587
20230802_161747_resized.jpg,CK26U47,CK26U47,CK26U47,1.0,1.0,0.8671875,0.85888671875,167.79377444618538,131.0832944304908,333.3439765259483,1314.7078608215288
20240221_175425_resized.jpg,99767M2,99767M2,99767M2,1.0,1.0,0.84765625,0.8662109375,184.39609239400494,155.22483757038052,307.61567898269044,1745.386300220851
20240224_154126_resized.jpg,7HKN790,7HKN790,7HKN790,1.0,1.0,0.82568359375,0.8427734375,174.18158441681715,140.09958282920937,300.54028567767045,1424.1692936005218
20240407_153852_resized.jpg,LUCILLE,LUCTLE,UCTLLE,0.7142857142857143,0.7142857142857143,0.900390625,0.89892578125,173.82796851379442,139.63158707413007,301.1362922560295,1675.9156844887032
20240504_154137.jpg,EQ 19389,EQ19389,EQ19389,0.875,0.875,0.8759765625,0.8740234375,181.97976523821117,156.35131178475774,869.954685374413,3504.3359372042437
20240504_154432.jpg,CJ0777,CJQ777,CJQ777,0.8333333333333334,0.8333333333333334,0.8798828125,0.880859375,170.53460798636473,143.99262356951547,813.5507138525678,3289.286438571358
20240504_154449_resized.jpg,CL 21287,CL21287,CL21287,0.875,0.875,0.8564453125,0.85205078125,187.57576515849397,155.19300279750533,309.2839198594936,1585.1832759185497
20240504_170739_resized.jpg,180008,180008,180008,1.0,1.0,0.89013671875,0.90283203125,168.75058291384968,133.13160637518897,368.90722474108367,1507.8402111731348
20240513_065344_resized.jpg,USJ-7233,USJ7233,USJ7233,0.875,0.875,0.81201171875,0.80615234375,165.0149841282964,120.38390188894488,318.0628128901985,1232.8543129008922
